Mercadoria,Vencimento,Preço de ajuste anterior,Preço de ajuste Atual,Variação,Valor do ajuste por contrato (R$)
ABEVO - Contrato Futuro de ABEV3,F25,"11,21","11,40","0,19","0,19"
AFS - Rande da África do Sul (em USD),G25,"18.968,000","18.791,500","-176,500","566,68"
ARB - Peso Argentino (em Reais),G25,"5,7740","5,7520","-0,0220","3,30"
ARS - Peso Argentino (em USD),G25,"1.051.438,0000","1.050.770,1000","-667,9000","38,67"
AUD - Dólar Australiano (em Reais),G25,"3.756,5650","3.760,4620","3,8970","233,82"
AUS - Dólar Australiano (em USD),G25,"618,800","622,205","3,405","205,13"
B3SAO - Contrato Futuro de B3SA3,F25,"9,85","10,51","0,66","0,66"
BBASO - Contrato Futuro de BBAS3,F25,"24,68","25,29","0,61","0,61"
BBDCP - Contrato Futuro de BBDC4,F25,"11,45","11,84","0,39","0,39"
BGI - Boi gordo,F25,"328,35","328,35","0,00","0,00"
BHIAO - Contrato Futuro de BHIA3,F25,"2,74","2,90","0,16","0,16"
BIT - Futuro de Bitcoin,F25,"588.225,81","602.941,15","14.715,34","1.471,53"
BRI - Futuro do Índice Brasil 50,G25,20.389,20.936,547,"5.470,00"
CAD - Dólar Canadense (em Reais),G25,"4.232,2130","4.220,1950","-12,0180","721,08"
CAN - Dólar Canadense (em USD),G25,"1.434,409","1.432,106","-2,303","96,81"
CCM - Milho,F25,"74,94","74,86","-0,08","36,00"
CCROO - Contrato Futuro de CCRO3,F25,"10,08","10,45","0,37","0,37"
CHF - Franco Suíço (em Reais),G25,"6.665,9990","6.634,9400","-31,0590","1.552,95"
CHL - Peso Chileno (em USD),G25,"1.003.670,900","1.006.070,000","2.399,100","143,70"
CLP - Peso Chileno (em Reais),G25,"6.048,5210","6.007,3030","-41,2180","1.030,45"
CMIGP - Contrato Futuro de CMIG4,F25,"10,44","10,60","0,16","0,16"
CNH - Iuan Chinês Offshore (em USD),G25,"7.338,913","7.339,875","0,962","7,88"
CNL - Café conillon,F25,"1.819,42","1.819,42","0,00","0,00"
CNY - Iuan Chinês Onshore (em Reais),G25,"8.292,5170","8.255,5190","-36,9980","1.294,93"
COGNO - Contrato Futuro de COGNO,F25,"1,15","1,24","0,09","0,09"
CSNAO - Contrato Futuro de CSNA3,F25,"7,50","7,98","0,48","0,48"
DAP - Cupom de DI x IPCA,F25,"100.000,01","100.000,00","-0,01","0,01"
DAX - Contrato Futuro de DAX,H25,"20.390,00","20.747,00","357,00","11.067,92"
DCO - Cupom Cambial em OC1,G25,"99.461,97","99.020,48","-441,49","1.339,28"
DDI - Cupom cambial,G25,"99.461,97","99.020,48","-441,49","1.339,28"
DI1 - DI de 1 dia,G25,"99.402,58","99.402,76","0,18","0,18"
DOL - Dólar comercial,G25,"6.070,7250","6.043,7670","-26,9580","1.347,90"
ELETO - Contrato Futuro de ELET3,F25,"34,15","35,20","1,05","1,05"
ESX - Contrato Futuro de EURO STOXX 50,H25,"4.995,00","5.064,00","69,00","4.278,35"
ETH - Etanol Hidratado,F25,"2.858,00","2.882,50","24,50","735,00"
EUP - Euro (em USD),G25,"1.030,668","1.029,983","-0,685","41,26"
EUR - Euro (em Reais),G25,"6.256,9020","6.224,9770","-31,9250","1.596,25"
FRC - FRA de cupom,H25,"5,81","5,78","-0,03","0,01"
FRO - FRA de Cupom Cambial em OC1,H25,"5,81","5,78","-0,03","0,01"
GBP - Libra Esterlina (em Reais),G25,"7.406,7880","7.388,6320","-18,1560","635,46"
GBR - Libra Esterlina (em USD),G25,"1.220,083","1.222,521","2,438","146,87"
GGBRP - Contrato Futuro de GGBR4,F25,"17,09","17,67","0,58","0,58"
HSI - Contrato Futuro de Índice BVMF Hang Seng,F25,19.252,19.312,60,"39,00"
HYPEO - Contrato Futuro de HYPE3,F25,"18,09","18,42","0,33","0,33"
ICF - Café Arábica 4/5,H25,"403,90","409,60","5,70","3.434,02"
IMV - Contrato Futuro de Indice Merval,F25,"2.878.489,00","2.744.896,00","-133.593,00","7.735,16"
IND - Ibovespa,G25,120.272,123.673,3.401,"3.401,00"
INK - Contrato Futuro de Indice Nikkei,H25,"38.725,00","38.755,00","30,00","57,75"
ISP - S&P 500,H25,"5.880,75","5.992,50","111,75","33.662,45"
ITSAP - Contrato Futuro de ITSA4,F25,"8,71","9,08","0,37","0,37"
ITUBP - Contrato Futuro de ITUB4,F25,"30,92","32,25","1,33","1,33"
JAP - Iene Japonês (em USD),G25,"157.623,453","156.133,852","-1.489,601","573,50"
JBSSO - Contrato Futuro de JBSS3,F25,"35,00","35,00","0,00","0,00"
JPY - Iene Japonês (em Reais),G25,"3.851,4100","3.870,8880","19,4780","973,90"
JSE - Contrato Futuro de Índice BVMF FTSE/JSE TOP 40,H25,74.387,75.898,1.511,"604,40"
LRENO - Contrato Futuro de LREN3,F25,"12,63","13,21","0,58","0,58"
MEX - Peso Mexicano (em USD),G25,"20.593,143","20.545,457","-47,686","140,24"
MGLUO - Contrato Futuro de MGLU3,F25,"5,91","6,37","0,46","0,46"
MXN - Peso Mexicano (em Reais),G25,"2.947,9350","2.941,6560","-6,2790","470,92"
NOK - Coroa Norueguesa (em USD),G25,"11.389,278","11.320,295","-68,983","367,13"
NTCOO - Contrato Futuro de NTCO3,F25,"12,46","13,05","0,59","0,59"
NZD - Dólar da Nova Zelândia (em Reais),G25,"3.398,9990","3.391,7620","-7,2370","542,77"
NZL - Dólar da Nova Zelândia (em USD),G25,"559,900","561,200","1,300","78,31"
OC1 - Contrato Futuro de OC1,G25,"99.402,58","99.402,76","0,18","0,18"
PCARO - Contrato Futuro de PCAR3,F25,"2,69","2,75","0,06","0,06"
PETRP - Contrato Futuro de PETR4,F25,"36,87","37,32","0,45","0,45"
PSSAO - Contrato Futuro de PSSA3,F25,"36,64","37,71","1,07","1,07"
RENTO - Contrato Futuro de RENT3,F25,"29,26","31,00","1,74","1,74"
RUB - Rublo Russo (em USD),G25,"103.853,216","103.531,417","-321,799","189,15"
SEK - Coroa Sueca (em USD),G25,"11.168,376","11.141,432","-26,944","145,54"
SJC - Soja Financeira Cross Listing,H25,"23,0930","22,9883","-0,1047","283,84"
SML - Contrato Futuro de Small Cap,G25,"1.753,55","1.817,01","63,46","634,60"
SOY - Soja FOB Santos,H25,"376,80","375,00","-1,80","369,50"
SUZBO - Contrato Futuro de SUZB3,F25,"61,01","61,15","0,14","0,14"
SWI - Franco Suíço (em USD),G25,"910,700","910,900","0,200","13,20"
T10 - US T-Note 10 anos,H25,"107,3593","108,3281","0,9688","5.849,32"
TRY - Lira Turca (em Reais),G25,"167,7970","167,8170","0,0200","1,50"
TUQ - Lira Turca (em USD),G25,"36.178,900","36.014,000","-164,900","280,20"
USIMA - Contrato Futuro de USIM5,F25,"4,69","4,95","0,26","0,26"
VALEO - Contrato Futuro de VALE3,F25,"51,92","52,65","0,73","0,73"
WDO - Dólar Mini - WDO,G25,"6.070,7250","6.043,7670","-26,9580","269,58"
WEGEO - Contrato Futuro de WEGE3,F25,"53,00","54,21","1,21","1,21"
WEU - EURO MÍNI,G25,"6.256,9020","6.224,9770","-31,9250","319,25"
WIN - Ibovespa Mini,G25,120.272,123.673,3.401,"680,20"
WSP - Microcontrato Futuro de S&P 500,H25,"5.880,75","5.992,50","111,75","1.683,12"
XFI - Futuro de IFIX,G25,"3.148,10","3.174,30","26,20","262,00"
ZAR - Rande da África do Sul (em Reais),G25,"3.200,5090","3.216,2240","15,7150","550,02"
