,Fundos/Carteiras Adm,PL,Weights,PL_atualizado,Adm,Max Contratos DI_35,Max Contratos TREASURY,Max Contratos WDO1,Contratos DI_35,Contratos TREASURY,Contratos WDO1
5,GLOBAL BONDS,29796115.0,4.0,119184460.0,SANTANDER,19.740239563803076,2.4073462882686676,13.673726917366032,-0.19258770306149342,-0.19258770306149342,0.19258770306149342
9,HORIZONTE,240930319.0,1.0,240930319.0,BTG,39.904717571766454,4.8664289721666405,27.641316561906518,-0.38931431777333125,-0.38931431777333125,0.38931431777333125
10,JERA2026,191147694.0,2.0,382295388.0,SANTANDER,63.3186788215263,7.7217901001861335,43.859767769057235,-0.6177432080148907,-0.6177432080148907,0.6177432080148907
11,REAL FIM,36463215.0,2.0,72926430.0,SANTANDER,12.07863171702851,1.473003867930306,8.366661969844138,-0.11784030943442447,-0.11784030943442447,0.11784030943442447
17,BH FIRF INFRA,77314727.0,2.0,154629454.0,BTG,25.610909891944534,3.1232816941395773,17.7402400227128,-0.2498625355311662,-0.2498625355311662,0.2498625355311662
18,BORDEAUX INFRA,45417246.0,2.0,90834492.0,BTG,15.044701572137457,1.834719703919202,10.421207918261068,-0.14677757631353616,-0.14677757631353616,0.14677757631353616
19,TOPAZIO INFRA,30777380.0,2.0,61554760.0,BTG,10.195168973307451,1.2433132894277379,7.062019483949551,-0.09946506315421903,-0.09946506315421903,0.09946506315421903
20,MANACA INFRA FIRF,40334603.0,2.0,80669206.0,BTG,13.361049350408436,1.6293962622449314,9.25497076955121,-0.1303517009795945,-0.1303517009795945,0.1303517009795945
22,AF DEB INCENTIVADAS,11563897.0,3.0,34691691.0,BTG,5.745902538077792,0.7007198217168039,3.980088587351446,-0.05605758573734431,-0.05605758573734431,0.05605758573734431
