Assets,2025-01-17
DAP25,"-33,33"
DAP26,"-25,41"
DAP27,"5,86"
DAP28,"-61,41"
DAP29,"-68,19"
DAP30,"-111,70"
DAP32,"-208,22"
DAP33,"-301,94"
DAP35,"-232,51"
DAP40,"-187,81"
DAP45,"-225,22"
DAP50,"-198,74"
DAP55,"-145,88"
DAP60,"-138,66"
DI_26,"-49,62"
DI_27,"-202,25"
DI_28,"-320,73"
DI_29,"-417,81"
DI_30,"-486,21"
DI_31,"-570,82"
DI_32,"-611,40"
DI_33,"-602,26"
DI_34,"-625,00"
DI_35,"-614,31"
DI_36,"-596,00"
DI_37,"-574,53"
DI_38,"-550,49"
DI_39,"-512,25"
DI_40,"-480,21"
WDO1,"37,8010"
TREASURY,"0,2812"
